bikeid,trips,distance,stations,duration,avg_trip_distance,avg_trip_duration,avg_age,age_range,revenue
1153,326,860499,154,375010,2639.6,1150.3,37.7,49.0,273.0
1154,338,858374,146,447704,2539.6,1324.6,38.7,76.0,427.5
1155,299,862076,146,417704,2883.2,1397.0,35.2,52.0,335.5
1156,334,891952,166,385474,2670.5,1154.1,38.5,48.0,309.0
1157,329,863572,158,417100,2624.8,1267.8,38.5,52.0,404.0
1158,374,1020882,165,514184,2729.6,1374.8,37.0,43.0,641.5
1159,324,888269,161,515476,2741.6,1591.0,37.2,49.0,784.5
116,409,1269219,168,674286,3103.2,1648.6,35.6,47.0,921.5
1160,292,801749,140,423631,2745.7,1450.8,36.8,49.0,364.5
1161,125,317004,80,145317,2536.0,1162.5,35.1,33.0,66.0
1162,297,785181,149,302297,2643.7,1017.8,36.9,39.0,93.5
1163,374,957561,163,536769,2560.3,1435.2,36.5,41.0,795.0
1164,326,848646,172,339814,2603.2,1042.4,36.4,54.0,165.5
1165,399,1119612,153,498806,2806.0,1250.1,37.4,48.0,353.5
1166,105,296855,102,130166,2827.2,1239.7,37.8,54.0,156.0
1167,285,779340,132,312198,2734.5,1095.4,38.3,50.0,123.5
1168,371,935805,157,385878,2522.4,1040.1,36.9,57.0,187.5
1169,354,867628,159,352644,2450.9,996.2,37.7,47.0,123.5
117,356,930305,145,523182,2613.2,1469.6,36.2,49.0,619.0
1170,293,809120,155,509826,2761.5,1740.0,36.4,41.0,830.0
1171,364,962807,163,373811,2645.1,1027.0,35.7,43.0,151.5
1172,205,649150,123,269987,3166.6,1317.0,36.5,38.0,156.0
1173,357,961773,158,476360,2694.0,1334.3,37.0,61.0,641.0
1174,331,838674,160,503125,2533.8,1520.0,38.2,48.0,805.5
1175,382,977900,158,380855,2559.9,997.0,36.3,45.0,144.0
1176,362,1115206,169,409939,3080.7,1132.4,37.1,46.0,220.5
1177,336,877106,156,371051,2610.4,1104.3,37.4,50.0,207.5
1178,349,926511,159,361187,2654.8,1034.9,35.9,45.0,154.5
1179,400,1020209,170,423803,2550.5,1059.5,37.4,47.0,292.5
118,487,1383961,175,585743,2841.8,1202.8,36.5,58.0,374.5
1180,379,1008787,151,412043,2661.7,1087.2,37.3,54.0,181.0
1181,280,875540,138,357927,3126.9,1278.3,37.6,44.0,188.0
1182,353,913647,147,382040,2588.2,1082.3,35.6,44.0,222.5
1183,289,800460,141,315286,2769.8,1091.0,37.0,49.0,162.5
1184,246,683811,120,310632,2779.7,1262.7,35.3,49.0,209.0
1185,288,742902,138,388315,2579.5,1348.3,38.2,58.0,355.0
1186,238,653244,131,313558,2744.7,1317.5,36.4,47.0,273.5
1187,326,841969,162,421888,2582.7,1294.1,38.3,50.0,438.0
1188,348,909314,166,357076,2613.0,1026.1,38.8,61.0,239.5
1189,251,707205,124,325105,2817.5,1295.2,37.7,45.0,253.5
119,415,1191760,171,487503,2871.7,1174.7,37.6,42.0,283.0
1190,261,803587,148,411143,3078.9,1575.3,37.1,44.0,565.0
1191,344,957285,164,436604,2782.8,1269.2,36.1,41.0,505.0
1192,344,905679,168,376260,2632.8,1093.8,37.9,50.0,225.0
1193,206,534951,121,235551,2596.8,1143.5,37.7,41.0,154.0
1194,388,1090397,154,420678,2810.3,1084.2,36.0,49.0,185.0
1195,383,976882,162,447050,2550.6,1167.2,39.3,51.0,340.5
1196,286,808577,148,534157,2827.2,1867.7,37.5,47.0,1015.0
1197,334,859698,172,437078,2573.9,1308.6,35.6,46.0,407.0
1198,327,905402,163,426908,2768.8,1305.5,37.5,47.0,554.0
1199,327,931427,156,338423,2848.4,1034.9,36.6,55.0,129.5
12,261,711731,151,254538,2726.9,975.2,38.0,47.0,89.0
120,425,1346149,163,622294,3167.4,1464.2,37.9,45.0,637.0
1200,326,837484,154,392164,2569.0,1203.0,41.0,87.0,406.0
1201,412,1095489,168,427003,2659.0,1036.4,37.0,43.0,178.5
1202,383,987143,168,394231,2577.4,1029.3,38.2,50.0,207.5
1203,284,736245,149,351023,2592.4,1236.0,35.8,43.0,303.0
1204,244,623649,154,290409,2555.9,1190.2,34.1,44.0,265.5
1205,239,631640,132,247700,2642.8,1036.4,36.3,38.0,139.0
1206,333,939773,156,414133,2822.1,1243.6,36.2,39.0,294.0
1207,307,827289,151,452822,2694.8,1475.0,36.7,52.0,677.0
1208,393,1021045,167,462478,2598.1,1176.8,38.4,45.0,361.5
1209,294,785988,149,328757,2673.4,1118.2,36.9,48.0,218.0
121,355,843065,155,448882,2374.8,1264.5,37.3,44.0,325.0
1210,387,1042103,168,419459,2692.8,1083.9,38.0,54.0,171.0
1211,346,992560,156,397013,2868.7,1147.4,39.0,49.0,301.0
1212,297,797990,149,332083,2686.8,1118.1,37.1,53.0,149.0
1213,286,813595,146,302732,2844.7,1058.5,38.7,56.0,155.0
1214,364,931744,162,541872,2559.7,1488.7,37.1,41.0,873.5
1215,320,853541,156,331170,2667.3,1034.9,36.8,40.0,157.0
1216,350,965117,158,423970,2757.5,1211.3,37.6,45.0,417.0
1217,303,820670,157,318405,2708.5,1050.8,36.8,44.0,114.0
1218,289,744449,143,335217,2575.9,1159.9,35.5,51.0,175.5
1219,343,917432,157,438178,2674.7,1277.5,36.6,55.0,433.0
122,411,1095609,159,542434,2665.7,1319.8,36.8,58.0,533.5
1220,343,832011,161,390293,2425.7,1137.9,37.2,57.0,233.0
1221,269,762574,153,315539,2834.8,1173.0,36.8,43.0,195.5
1222,269,768442,153,279154,2856.7,1037.7,39.5,54.0,143.0
1223,317,846135,164,374100,2669.2,1180.1,36.2,52.0,218.5
1224,341,978076,164,398918,2868.3,1169.8,37.5,61.0,261.0
1225,304,886904,156,381996,2917.4,1256.6,38.5,43.0,333.5
1226,348,1026469,147,413393,2949.6,1187.9,37.5,46.0,218.5
1227,325,854312,149,374112,2628.7,1151.1,38.8,44.0,251.0
1228,274,787824,146,271476,2875.3,990.8,37.8,56.0,115.5
1229,272,793725,132,333917,2918.1,1227.6,36.2,45.0,309.5
123,382,1056148,153,488734,2764.8,1279.4,36.6,40.0,366.0
1230,354,867697,154,465454,2451.1,1314.8,36.9,45.0,535.0
1231,385,948712,167,420615,2464.2,1092.5,38.6,47.0,299.0
1232,221,605121,139,245978,2738.1,1113.0,38.4,57.0,129.0
1233,357,976560,169,482588,2735.5,1351.8,37.4,62.0,671.0
1234,379,922145,147,422800,2433.1,1115.6,38.3,42.0,256.0
1235,300,790150,151,401210,2633.8,1337.4,37.1,47.0,464.0
1236,356,881248,148,385433,2475.4,1082.7,36.6,56.0,235.0
1237,347,948683,164,358421,2734.0,1032.9,37.1,48.0,197.5
1238,406,1186453,175,469953,2922.3,1157.5,36.6,46.0,321.5
1239,351,884845,155,335257,2520.9,955.1,38.3,54.0,127.5
124,377,1048109,160,491762,2780.1,1304.4,37.9,46.0,393.0
1240,213,559968,119,260592,2629.0,1223.4,38.0,43.0,199.5
1241,323,952292,143,530323,2948.3,1641.9,37.2,53.0,801.0
1242,346,887273,155,380510,2564.4,1099.7,36.3,65.0,208.5
1243,284,807163,146,301223,2842.1,1060.6,37.7,40.0,123.0
1244,332,822919,151,366534,2478.7,1104.0,38.4,51.0,263.0
1245,322,873174,154,404765,2711.7,1257.0,37.3,49.0,400.0
1246,372,935638,148,468947,2515.2,1260.6,37.1,56.0,374.0
1247,281,693779,142,326879,2469.0,1163.3,36.4,57.0,275.0
1248,345,877430,159,471606,2543.3,1367.0,37.6,51.0,655.0
1249,376,976140,166,411824,2596.1,1095.3,37.0,54.0,212.5
125,448,1195551,170,584831,2668.6,1305.4,37.4,46.0,589.0
1250,127,365871,94,138567,2880.9,1091.1,37.8,40.0,32.0
1251,370,962678,173,418206,2601.8,1130.3,36.6,47.0,266.5
1252,283,829565,158,318173,2931.3,1124.3,35.7,46.0,141.5
1253,335,972926,168,353839,2904.3,1056.2,36.8,44.0,123.0
1254,336,911088,153,379145,2711.6,1128.4,37.5,48.0,240.0
1255,218,624628,125,380623,2865.3,1746.0,34.9,39.0,774.5
1256,318,906427,151,489943,2850.4,1540.7,38.2,62.0,632.0
1257,294,774508,145,356267,2634.4,1211.8,37.6,43.0,411.0
1258,310,787024,160,324087,2538.8,1045.4,36.9,40.0,176.5
1259,330,892275,161,440251,2703.9,1334.1,39.0,44.0,427.5
126,473,1350240,165,636423,2854.6,1345.5,38.9,52.0,682.5
1260,287,851097,150,373750,2965.5,1302.3,36.0,54.0,335.5
1261,282,797544,144,367624,2828.2,1303.6,39.0,47.0,286.5
1262,316,986487,136,371145,3121.8,1174.5,36.0,47.0,176.5
1263,404,1039771,163,398558,2573.7,986.5,35.7,57.0,124.0
1264,367,940127,152,503317,2561.7,1371.4,38.3,48.0,556.5
1265,349,926776,160,375909,2655.5,1077.1,35.9,47.0,239.5
1266,337,919190,140,458995,2727.6,1362.0,37.0,45.0,366.0
1267,325,858989,170,328727,2643.0,1011.5,37.3,46.0,166.5
1268,366,933240,161,358082,2549.8,978.4,36.7,55.0,153.0
1269,240,648965,133,275895,2704.0,1149.6,38.9,42.0,239.5
127,225,621477,92,390399,2762.1,1735.1,36.2,36.0,544.0
1270,346,873311,160,447546,2524.0,1293.5,38.1,51.0,434.5
1271,334,908506,156,387589,2720.1,1160.4,37.6,49.0,422.5
1272,362,924547,162,441462,2554.0,1219.5,37.3,49.0,368.5
1273,364,1028391,154,472038,2825.3,1296.8,38.8,62.0,466.5
1274,314,903350,157,377673,2876.9,1202.8,37.1,44.0,283.0
1275,355,963283,155,434305,2713.5,1223.4,38.1,43.0,369.0
1276,264,660651,147,286776,2502.5,1086.3,36.6,55.0,113.5
1277,297,776050,136,414861,2613.0,1396.8,35.0,53.0,338.0
1278,227,672917,118,325241,2964.4,1432.8,37.8,45.0,277.0
1279,220,729593,130,287784,3316.3,1308.1,37.6,56.0,245.0
128,340,1039219,138,532188,3056.5,1565.3,36.2,45.0,615.0
1280,231,556179,131,243928,2407.7,1056.0,38.7,50.0,143.5
1281,236,666992,153,263409,2826.2,1116.1,37.7,40.0,199.0
1282,355,991400,169,424818,2792.7,1196.7,37.6,51.0,461.0
1283,333,910408,151,407202,2734.0,1222.8,37.1,43.0,365.0
1284,272,704244,139,279029,2589.1,1025.8,37.5,57.0,152.0
1285,318,851843,163,305284,2678.8,960.0,38.0,59.0,117.5
1286,274,736344,149,318156,2687.4,1161.2,39.2,46.0,226.0
1287,327,843013,160,403994,2578.0,1235.5,38.3,46.0,397.0
1288,372,1074312,160,540118,2887.9,1451.9,37.1,45.0,676.5
1289,337,878965,147,527610,2608.2,1565.6,38.8,50.0,874.5
129,227,672893,113,270327,2964.3,1190.9,38.2,53.0,148.5
1290,230,656901,161,220572,2856.1,959.0,36.0,45.0,62.0
1291,373,958906,176,381187,2570.8,1021.9,38.3,48.0,173.0
1292,267,737924,150,317752,2763.8,1190.1,37.2,51.0,164.5
1293,270,812543,133,483316,3009.4,1790.1,37.9,46.0,861.0
1294,312,848208,144,326892,2718.6,1047.7,38.0,39.0,131.5
1295,252,656182,137,280452,2603.9,1112.9,34.1,40.0,154.0
1296,279,771202,149,370065,2764.2,1326.4,36.1,53.0,435.0
1297,293,770509,143,326043,2629.7,1112.8,37.2,47.0,269.5
1298,298,759346,157,322605,2548.1,1082.6,36.9,41.0,273.0
1299,349,965511,160,449564,2766.5,1288.1,38.3,50.0,467.0
13,376,1053806,146,530373,2802.7,1410.6,37.8,49.0,592.5
130,456,1266735,167,536028,2777.9,1175.5,36.4,44.0,297.0
1300,313,792775,164,322194,2532.8,1029.4,36.4,48.0,149.0
1301,355,1024353,155,373263,2885.5,1051.4,37.3,53.0,157.0
1302,384,965876,166,464284,2515.3,1209.1,36.8,47.0,404.5
1303,276,762744,150,333323,2763.6,1207.7,35.7,46.0,164.0
1304,298,798829,158,387125,2680.6,1299.1,36.6,46.0,358.5
1305,275,815677,134,415839,2966.1,1512.1,35.6,45.0,556.5
1306,293,830756,141,401333,2835.3,1369.7,36.9,40.0,358.0
1307,301,838256,144,320792,2784.9,1065.8,36.2,45.0,81.0
1308,174,475410,107,245116,2732.2,1408.7,37.9,47.0,308.5
1309,390,963952,175,376355,2471.7,965.0,37.2,49.0,161.5
131,405,1181343,177,650317,2916.9,1605.7,36.7,48.0,874.5
1310,225,617696,139,242364,2745.3,1077.2,37.7,49.0,132.5
1311,295,878263,155,338067,2977.2,1146.0,36.6,80.0,154.5
1312,299,800474,148,398374,2677.2,1332.4,37.2,59.0,403.0
1313,377,1028545,154,402909,2728.2,1068.7,37.6,50.0,181.5
1314,324,870118,147,328660,2685.5,1014.4,39.0,58.0,103.0
1315,321,1000011,154,336657,3115.3,1048.8,37.9,42.0,109.0
1316,372,1004592,164,461900,2700.5,1241.7,37.4,41.0,493.5
1317,367,947233,164,420955,2581.0,1147.0,35.3,49.0,362.0
1318,262,643805,140,376744,2457.3,1438.0,35.6,39.0,440.0
1319,55,157560,64,51868,2864.7,943.1,36.7,42.0,10.0
132,372,1123225,147,576518,3019.4,1549.8,37.4,45.0,725.0
1320,306,799458,159,418083,2612.6,1366.3,36.1,44.0,523.0
